Handle,Views,Subscriber,Total_Videos,Joining_Date,Today_Date,Scrape_Time
Vilcart,2342,69,4,15 Feb 2022,2023-08-01,15:40:43
ElasticRun,15423,765,4,14 Feb 2019,2023-08-01,15:40:48
Tiwana Nutrition,47437,704,5,12 Dec 2011,2023-08-01,15:38:21
Jumbotail,56176,2050,10,10 Oct 2018,2023-08-01,15:41:05
Spinny,150378919,16500,279,3 Dec 2015,2023-08-01,15:40:09
Gyandhara- Badhiya Wala Pashu Aahar,44581,664,27,10 Mar 2021,2023-08-01,15:38:15
ERGOS GrainBank,12946,277,33,7 Dec 2014,2023-08-01,15:39:46
Snapbizz Cloudtech,274151,2620,38,30 Mar 2016,2023-08-01,15:41:11
DIRECT | Powered By ShopKirana,82106,813,40,3 Feb 2020,2023-08-01,15:41:00
1K,2667043,826,49,7 Sept 2020,2023-08-01,15:40:54
