NR_user_id,NR_event_date,NR_NotificationTime,NR_string_value,NO_user_id,NO_event_date,NO_NotificationTime,NO_string_value,PE_user_id,PE_event_date,PE_NotificationTime,PE_purchases
yJgl7Wgk3nQ7CNxWgqHhUhYe6vW2,20220907,0,HighDemand,,,,,,,,
BIjTYhklGtTQgLp9p1x5zVVxY0k1,20221119,0,Silage,BIjTYhklGtTQgLp9p1x5zVVxY0k1,20221119,1.0,tshirt_offer,,,,
C4iBUj5gUbdwndKGVM25GUMRTVC2,20221119,0,Silage,,,,,,,,
SM8kx8rHkZUOSvPBRGWhDc6MfPi1,20221119,0,Silage,,,,,,,,
PaZizYUPndZmmCVsH3iYx7ktItM2,20221120,0,SarsoDOC,,,,,,,,
TL1QI4t1tQRxkZS8bqWZeKLC5Zk1,20220907,1,bhains-sale,,,,,,,,
5ikZa3CXV8U5rVynDa7c8H2By2J3,20221119,1,SarsoDOC,,,,,,,,
7zMgF0lSxkeFuojcOAE5JY6qiW12,20221119,1,SarsoDOC,,,,,,,,
tQwH7P1FpFMih8tGdl9kZQfO8Ej1,20221120,1,SarsoDOC,,,,,,,,
vNl2Pbeni2b77L8Luys9CqYc2j33,20221120,1,SarsoDOC,,,,,,,,
