Sales_Orders_Sales_order_ID,Sales_Orders_Order_Date,Sales_Orders_Sales_Order_,Sales_Orders_Status,Sales_Orders_Sub_Total__BCY_,Sales_Orders_Total__BCY_,Sales_Orders_Discount_Amount__BCY_,Sales_Orders_Adjustment__BCY_,Sales_Orders_Created_Time,Sales_Orders_Customer_ID,Sales_Orders_Currency_Code,Sales_Orders_Exchange_Rate,Sales_Orders_Discount____,Sales_Orders_Last_Modified_Time,Sales_Orders_Expected_Shipment_Date,Sales_Orders_CRM_Reference_ID,Sales_Orders_Invoiced_Status,Sales_Orders_Paid_Status,Sales_Orders_Sales_Channel,Sales_Orders_Sales_Person_ID,Sales_Orders_Source,Sales_Orders_Reason_for_cancel,Sales_Orders_Branch_ID,Sales_Orders_Rescheduling_Status,Sales_Order_Items_Item_ID,Sales_Order_Items_Product_ID,Sales_Order_Items_Item_Name,Sales_Order_Items_Quantity,Sales_Order_Items_Sub_Total__BCY_,Sales_Order_Items_Total__BCY_,Sales_Order_Items_Project_ID,Sales_Order_Items_Last_Modified_Time,Sales_Order_Items_Created_Time,Sales_Order_Items_Quantity_Invoiced,Sales_Order_Items_Quantity_Cancelled,Sales_Order_Items_Quantity_Packed,Sales_Order_Items_Quantity_Shipped,Sales_Order_Items_Quantity_Delivered,Sales_Order_Items_Non_Package_Quantity,Sales_Order_Items_Product_Category,Items_Status,Items_Purchase_Account,Items_Sales_Account,Items_Type,Items_Purchase_Price,Items_Usage_unit,Items_Sales_Price,Items_CRM_Reference_ID,Items_Returnable_Items,Items_Last_Modified_Time,Items_Created_Time,Items_SKU,Items_Brand,Items_Manufacturer,Items_Product_Type,Items_Product_Category,Items_Category_ID,Items_Manufacturer_ID,Items_Group_ID,Invoices_Invoice_Number,Invoices_Invoice_Date,Invoices_Invoice_Status,Invoices_Customer_ID,Invoices_Due_Date,Invoices_Discount____,Invoices_Sub_Total__BCY_,Invoices_Discount_Amount,Invoices_Adjustment__BCY_,Invoices_Total__BCY_,Invoices_Sales_Person_ID,Invoices_Created_Time,Invoices_Age_In_Days,Invoices_Age_Tier,Invoices_Subscription_ID,Invoices_Type,Invoices_Balance__BCY_,Invoices_Purchase_Order_,Invoices_Exchange_Rate,Invoices_Write_Off_Amount__BCY_,Invoices_Last_Modified_Time,Invoices_Discount_Amount__BCY_,Invoices_Discount_Amount__FCY_,Invoices_Status,Invoices_COD_Status,Warehouses_Warehouse_ID,Warehouses_Last_Modified_Time,Warehouses_Created_Time,Warehouses_Warehouse_Name,Warehouses_City,Warehouses_State,Warehouses_ZIP_Postal_Code,TAKE_RATE1_S_No_,TAKE_RATE1_FOB,Sales_Persons_Sales_Person_ID,Sales_Persons_Name,Sales_Persons_Status,Sales_Persons_Last_Modified_Time,Sales_Persons_Created_Time,Branch_Mapping_Branch_Name,Customers_Customer_Name,Customers_Phone,Customers_Mobile_Phone,Sales_Orders_Reference_Number,Customer_Addresses_Billing_City,Customer_Addresses_Billing_Code,Customer_Addresses_Billing_State,Customer_Addresses_Shipping_City,Customer_Addresses_Shipping_Code,Customer_Addresses_Shipping_State,Invoice_Items_Invoice_ID,Invoice_Items_Quantity,Invoice_Items_Sub_Total__BCY_,Invoice_Items_Total__BCY_,TAKE_RATE1_Category,TAKE_RATE1_SKU,TAKE_RATE1_Item_name,month_of_sale,week_of_sale,year_of_sale,weekday,week_start_date,week_end_date,sale_week,sale_day,business_week_name
707689000004213390,2022-04-06,SO-04339,void,1663.44,1660.0,0.0,0.0,2022-04-06 16:00:19+00:00,707689000004213358,INR,1.0,0.0,2022-07-16 12:55:36+00:00,2022-04-07,2.818220000022537e+17,not_invoiced,unpaid,direct_sales,7.076890000025553e+17,User,,707689000010239792,,707689000004213394,,,1.0,1941.0,1663.44,,2022-07-16 12:55:36+00:00,2022-04-06 16:00:19+00:00,0.0,0.0,0.0,0.0,0.0,1.0,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6. Negative - Not Valid,,Invoice,,,,,,,,,,,,,,,,,,,7.076890000025553e+17,Meenakshi Meenakshi,Active,2022-05-18 15:33:49+00:00,2022-03-25 11:46:50+00:00,Gurgaon HQ,Mr. kebal singh,8307983150,,,charkhi dadri,123024,Haryana,,,,,,,,,,,April,14,2022,Wednesday,03 Apr,09 Apr,03 Apr - 09 Apr,06 Apr: Wed,14: 03 Apr - 09 Apr
707689000007102593,2022-04-25,SO-08100,void,1900.0,1900.0,0.0,0.0,2022-05-07 00:38:35+00:00,707689000006319720,INR,1.0,0.0,2022-05-08 00:59:47+00:00,2022-05-08,,not_invoiced,unpaid,shopify,,API,,707689000010239792,,707689000007102597,,,1.0,1900.0,1900.0,,2022-05-08 00:59:47+00:00,2022-05-07 00:38:35+00:00,0.0,0.0,0.0,0.0,0.0,1.0,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6. Negative - Not Valid,,Invoice,,,,,,,,,,,,,,,,,,,,,,,,Gurgaon HQ,Deepak Tanwar,8307629402,,MP3605986,,,,Palwal,121103,Haryana,,,,,,,,April,17,2022,Monday,24 Apr,30 Apr,24 Apr - 30 Apr,25 Apr: Mon,17: 24 Apr - 30 Apr
707689000000555896,2022-01-31,SO-MILK-01,invoiced,60395.0,60400.0,0.0,0.0,2022-02-17 06:43:50+00:00,707689000000555870,INR,1.0,0.0,2022-04-01 11:17:23+00:00,,2.818220000010413e+17,invoiced,paid,direct_sales,,User,,707689000010239792,,707689000000555900,,,1285.0,60395.0,60395.0,,2022-04-01 11:17:23+00:00,2022-02-17 06:43:50+00:00,1285.0,0.0,0.0,0.0,0.0,1285.0,Service,,,,,,,,,,,,,,,,,,,,MILK-0001,2022-01-31,Closed,7.076890000005559e+17,2022-01-31,0.0,60395.0,0.0,0.0,60400.0,,2022-02-17 07:16:16+00:00,282.0,5. Above 180 days,,Invoice,0.0,SO-00551,1.0,0.0,2022-04-01 11:17:23+00:00,0.0,0.0,Closed,,,,,,,,,,,,,,,,Gurgaon HQ,Munna,,,,,,,,,,7.076890000005632e+17,1285.0,60395.0,60395.0,,,,January,5,2022,Monday,30 Jan,05 Feb,30 Jan - 05 Feb,31 Jan: Mon,05: 30 Jan - 05 Feb
707689000000555790,2022-01-31,SO-MILK-02,invoiced,300.0,300.0,0.0,0.0,2022-02-17 06:35:26+00:00,707689000000227105,INR,1.0,0.0,2022-03-31 17:28:26+00:00,,2.8182200000104048e+17,invoiced,paid,direct_sales,7.076890000002111e+17,User,,707689000010239792,,707689000000555794,,,6.0,300.0,300.0,,2022-03-31 17:28:26+00:00,2022-02-17 06:35:26+00:00,6.0,0.0,0.0,0.0,0.0,6.0,Service,,,,,,,,,,,,,,,,,,,,MILK-0002,2022-01-31,Closed,7.076890000002271e+17,2022-01-31,0.0,300.0,0.0,0.0,300.0,7.076890000002111e+17,2022-02-17 07:18:09+00:00,282.0,5. Above 180 days,,Invoice,0.0,SO-00548,1.0,0.0,2022-02-17 08:30:23+00:00,0.0,0.0,Closed,,,,,,,,,,,7.076890000002111e+17,Pashufy Tech,Active,2022-01-31 18:11:49+00:00,2022-01-31 18:11:49+00:00,Gurgaon HQ,Azad Singh Bokan,,,,,,,,,,7.076890000005633e+17,6.0,300.0,300.0,,,,January,5,2022,Monday,30 Jan,05 Feb,30 Jan - 05 Feb,31 Jan: Mon,05: 30 Jan - 05 Feb
707689000000555834,2022-01-31,SO-MILK-03,invoiced,30750.0,30750.0,0.0,0.0,2022-02-17 06:38:24+00:00,707689000000555808,INR,1.0,0.0,2022-03-31 17:28:26+00:00,,2.818220000010413e+17,invoiced,paid,direct_sales,,User,,707689000010239792,,707689000000555838,,,615.0,30750.0,30750.0,,2022-03-31 17:28:26+00:00,2022-02-17 06:38:24+00:00,615.0,0.0,0.0,0.0,0.0,615.0,Service,,,,,,,,,,,,,,,,,,,,MILK-0003,2022-01-31,Closed,7.076890000005558e+17,2022-01-31,0.0,30750.0,0.0,0.0,30750.0,,2022-02-17 07:19:31+00:00,282.0,5. Above 180 days,,Invoice,0.0,SO-00549,1.0,0.0,2022-02-24 17:31:30+00:00,0.0,0.0,Closed,,,,,,,,,,,,,,,,Gurgaon HQ,Prem,,,,,,,,,,7.076890000005633e+17,615.0,30750.0,30750.0,,,,January,5,2022,Monday,30 Jan,05 Feb,30 Jan - 05 Feb,31 Jan: Mon,05: 30 Jan - 05 Feb
707689000000555852,2022-01-31,SO-MILK-04,invoiced,46100.0,46100.0,0.0,0.0,2022-02-17 06:40:29+00:00,707689000000288725,INR,1.0,0.0,2022-03-31 17:28:26+00:00,,2.8182200000103738e+17,invoiced,paid,direct_sales,7.076890000002111e+17,User,,707689000010239792,,707689000000555856,,,922.0,46100.0,46100.0,,2022-03-31 17:28:26+00:00,2022-02-17 06:40:29+00:00,922.0,0.0,0.0,0.0,0.0,922.0,Service,,,,,,,,,,,,,,,,,,,,MILK-0004,2022-01-31,Closed,7.076890000002888e+17,2022-01-31,0.0,46100.0,0.0,0.0,46100.0,7.076890000002111e+17,2022-02-17 07:20:40+00:00,338.0,5. Above 180 days,,Invoice,0.0,SO-00550,1.0,0.0,2022-02-24 17:34:33+00:00,0.0,0.0,Closed,,,,,,,,,,,7.076890000002111e+17,Pashufy Tech,Active,2022-01-31 18:11:49+00:00,2022-01-31 18:11:49+00:00,Gurgaon HQ,Nirmal Boken ji S/O RAMPHAL JI,8700443720,,,,,,,,,7.076890000005633e+17,922.0,46100.0,46100.0,,,,January,5,2022,Monday,30 Jan,05 Feb,30 Jan - 05 Feb,31 Jan: Mon,05: 30 Jan - 05 Feb
707689000000555940,2022-01-31,SO-MILK-05,invoiced,5170.0,5170.0,0.0,0.0,2022-02-17 06:47:34+00:00,707689000000555914,INR,1.0,0.0,2022-03-31 17:28:26+00:00,,2.818220000010413e+17,invoiced,paid,direct_sales,,User,,707689000010239792,,707689000000555944,,,94.0,5170.0,5170.0,,2022-03-31 17:28:26+00:00,2022-02-17 06:47:34+00:00,94.0,0.0,0.0,0.0,0.0,94.0,Service,,,,,,,,,,,,,,,,,,,,MILK-0005,2022-01-31,Closed,7.076890000005559e+17,2022-01-31,0.0,5170.0,0.0,0.0,5170.0,,2022-02-17 07:21:50+00:00,282.0,5. Above 180 days,,Invoice,0.0,SO-00552,1.0,0.0,2022-02-17 08:29:30+00:00,0.0,0.0,Closed,,,,,,,,,,,,,,,,Gurgaon HQ,Vipin Dagar,,,,,,,,,,7.076890000005633e+17,94.0,5170.0,5170.0,,,,January,5,2022,Monday,30 Jan,05 Feb,30 Jan - 05 Feb,31 Jan: Mon,05: 30 Jan - 05 Feb
707689000000555984,2022-01-31,SO-MILK-06,invoiced,0.0,0.0,0.0,0.0,2022-02-17 06:53:08+00:00,707689000000555958,INR,1.0,0.0,2022-03-31 17:28:26+00:00,,2.818220000010413e+17,invoiced,paid,direct_sales,,User,,707689000010239792,,707689000000555988,,,176.22,0.0,0.0,,2022-03-31 17:28:26+00:00,2022-02-17 06:53:08+00:00,176.22,0.0,0.0,0.0,0.0,176.22,Service,,,,,,,,,,,,,,,,,,,,MILK-0006,2022-01-31,Closed,7.076890000005559e+17,2022-01-31,0.0,0.0,0.0,0.0,0.0,,2022-02-17 07:25:55+00:00,282.0,5. Above 180 days,,Invoice,0.0,SO-00553,1.0,0.0,2022-02-24 17:42:28+00:00,0.0,0.0,Closed,,,,,,,,,,,,,,,,Gurgaon HQ,Pogo & Kilo MP360,,,,,,,,,,7.076890000005635e+17,176.22,0.0,0.0,,,,January,5,2022,Monday,30 Jan,05 Feb,30 Jan - 05 Feb,31 Jan: Mon,05: 30 Jan - 05 Feb
707689000000563028,2022-01-31,SO-MILK-07,invoiced,0.0,0.0,0.0,0.0,2022-02-17 06:55:41+00:00,707689000000563002,INR,1.0,0.0,2022-03-31 17:28:26+00:00,,2.818220000010413e+17,invoiced,paid,direct_sales,,User,,707689000010239792,,707689000000563032,,,49.5,0.0,0.0,,2022-03-31 17:28:26+00:00,2022-02-17 06:55:41+00:00,49.5,0.0,0.0,0.0,0.0,49.5,Service,,,,,,,,,,,,,,,,,,,,MILK-0007,2022-01-31,Closed,7.07689000000563e+17,2022-01-31,0.0,0.0,0.0,0.0,0.0,,2022-02-17 07:28:29+00:00,282.0,5. Above 180 days,,Invoice,0.0,SO-00554,1.0,0.0,2022-02-24 17:45:32+00:00,0.0,0.0,Closed,,,,,,,,,,,,,,,,Gurgaon HQ,Uma MP360,,9971598587,,,,,,,,7.076890000005635e+17,49.5,0.0,0.0,,,,January,5,2022,Monday,30 Jan,05 Feb,30 Jan - 05 Feb,31 Jan: Mon,05: 30 Jan - 05 Feb
707689000000563072,2022-01-31,SO-MILK-08,invoiced,0.0,0.0,0.0,0.0,2022-02-17 06:58:29+00:00,707689000000563046,INR,1.0,0.0,2022-03-31 17:28:26+00:00,,2.818220000010413e+17,invoiced,paid,direct_sales,,User,,707689000010239792,,707689000000563076,,,1.0,0.0,0.0,,2022-03-31 17:28:26+00:00,2022-02-17 06:58:29+00:00,1.0,0.0,0.0,0.0,0.0,1.0,Service,,,,,,,,,,,,,,,,,,,,MILK-0008,2022-01-31,Closed,7.076890000005631e+17,2022-01-31,0.0,0.0,0.0,0.0,0.0,,2022-02-17 07:30:12+00:00,282.0,5. Above 180 days,,Invoice,0.0,SO-00555,1.0,0.0,2022-02-17 07:37:04+00:00,0.0,0.0,Closed,,,,,,,,,,,,,,,,Gurgaon HQ,Rahul MP360,,9896616448,,,,,,,,7.076890000005635e+17,1.0,0.0,0.0,,,,January,5,2022,Monday,30 Jan,05 Feb,30 Jan - 05 Feb,31 Jan: Mon,05: 30 Jan - 05 Feb
